station_j,m,t,inventory_MWh
189,0,0,0.088
189,0,2,0.088
189,0,3,0.088
189,3,0,0.1
189,3,1,0.1
189,3,2,0.1
189,3,3,0.1
190,0,0,0.088
190,0,2,0.088
190,0,3,0.088
190,1,0,0.1
190,1,1,0.1
190,1,2,0.1
190,1,3,0.1
190,3,0,0.088
190,3,2,0.088
190,3,3,0.088
191,0,0,0.1
191,0,1,0.01200000000000001
191,0,2,0.1
191,0,3,0.1
194,0,0,0.088
194,0,2,0.088
194,0,3,0.088
194,3,0,0.088
194,3,2,0.088
194,3,3,0.088
197,0,0,0.088
197,0,2,0.1
197,1,0,0.088
197,1,2,0.1
197,2,0,0.088
197,2,2,0.1
197,3,0,0.088
197,3,2,0.1
198,0,0,0.088
198,0,2,0.088
198,0,3,0.088
198,3,0,0.088
198,3,2,0.088
198,3,3,0.088
202,0,0,0.088
202,0,2,0.1
202,1,0,0.088
202,1,2,0.1
202,2,0,0.088
202,2,2,0.1
202,3,0,0.088
202,3,2,0.1
205,0,0,0.088
205,0,2,0.088
205,0,3,0.088
205,1,0,0.1
205,1,1,0.01200000000000001
205,1,2,0.1
205,1,3,0.1
205,2,0,0.088
205,2,2,0.088
205,2,3,0.088
205,3,0,0.088
205,3,2,0.088
205,3,3,0.088
206,0,0,0.088
206,0,2,0.1
206,1,0,0.088
206,1,2,0.1
206,2,0,0.088
206,2,2,0.1
206,3,0,0.088
206,3,2,0.1
207,0,0,0.088
207,0,2,0.088
207,0,3,0.088
207,3,0,0.088
207,3,2,0.088
207,3,3,0.088
211,0,0,0.1
211,0,1,0.1
211,0,2,0.1
211,0,3,0.1
217,0,0,0.1
217,0,1,0.01200000000000001
217,0,2,0.1
217,0,3,0.1
217,3,0,0.088
217,3,2,0.088
217,3,3,0.088
221,0,0,0.088
221,0,2,0.088
221,0,3,0.088
221,1,0,0.088
221,1,2,0.088
221,1,3,0.088
221,2,0,0.088
221,2,2,0.088
221,2,3,0.088
221,3,0,0.088
221,3,2,0.088
221,3,3,0.088
223,0,0,0.088
223,0,2,0.1
223,1,0,0.088
223,1,2,0.1
223,2,0,0.088
223,2,2,0.1
223,3,0,0.088
223,3,2,0.1
224,0,0,0.088
224,0,2,0.1
224,0,3,0.05327791263484617
224,1,0,0.088
224,1,2,0.1
224,1,3,0.088
224,2,0,0.1
224,2,1,0.01200000000000026
224,2,2,0.1
224,2,3,0.1
224,3,0,0.088
